,zpid,True Value,Asking Price,Prediction,Decision,Won?,Cost Paid,Profit,Pred Error (%)
0,1006162,560382.0158683514,250338.22727901442,431068.8289973895,Bid,Yes,356979.00088842446,203403.014979927,-23.075898799247167
1,1006068,440761.11251482,373437.8478110509,428956.3784421965,Bid,Yes,380906.6047672719,59854.50774754811,-2.678261247973995
2,1009661,316834.11776006146,231391.04726550332,238973.0416673736,Skip: below threshold,—,,,-24.574713305229356
3,1010629,317551.42243411747,453806.9270873643,391110.6763828042,Skip: below threshold,—,,,23.164517225221395
4,1011218,473403.0433699883,381340.09559551015,522592.958394664,Bid,Yes,442974.4672438249,30428.576126163418,10.390705280327332
5,1017470,812120.9265802905,466101.1901389235,1030660.7821338496,Bid,No,,,26.90976779453214
6,1015909,639572.0368178366,599650.0571892471,609132.1955090981,Skip: below threshold,—,,,-4.7594077846477765
7,1014520,226055.09792155365,284078.65036040806,217507.5215332221,Skip: below threshold,—,,,-3.781191606347999
8,1012047,110108.30075646038,36561.23719785308,129016.79082016424,Bid,Yes,99391.93687292929,10716.363883531085,17.17262906956127
9,1014498,492196.4529331514,542914.3755347123,531321.997930851,Skip: below threshold,—,,,7.949172482763396
10,1007071,641937.2730135405,230175.80006568998,331181.9494036349,Bid,Yes,247785.81559307934,394151.4574204612,-48.408985842352045
11,1014905,614264.8720846605,757427.9715773351,804551.7373679122,Skip: below threshold,—,,,30.977982614806866
12,1010125,554180.0053762128,637975.6571691163,505035.4293916798,Skip: below threshold,—,,,-8.86798071164088
13,1006781,937572.5388197548,741164.9545695594,1164559.4853012443,Bid,Yes,963972.7301589183,-26400.19133916346,24.210067710305125
14,1011940,637013.6540147814,750386.5989146014,627585.4862169242,Skip: below threshold,—,,,-1.4800574113970915
15,1014801,366355.9029206088,212779.2640876108,440917.7064598001,Bid,Yes,359732.9679955195,6622.934925089299,20.352286654802224
16,1011079,784673.940624207,819834.0498086907,1032236.522811434,Skip: no budget,—,,,31.549739244595187
17,1006883,463054.6875,532320.6120145298,453410.08782559546,Skip: below threshold,—,,,-2.0828208707863562
18,1001634,1300763.554700032,1486283.6227015916,1237037.068187737,Skip: below threshold,—,,,-4.899159903583793
19,1013215,986137.9549393414,704555.70947673,700253.33279762,Skip: below threshold,—,,,-28.9903274394612
20,1000807,316426.638917794,532572.2652142982,348196.4398798362,Skip: below threshold,—,,,10.04017900348013
21,1007901,529891.8002035482,956332.8559450369,590052.8277509094,Skip: below threshold,—,,,11.35345508729357
22,1002209,383112.6011782174,384689.3690296941,311449.8092733169,Skip: below threshold,—,,,-18.705412373414525
23,1007301,758568.4381338742,736073.6519814255,775750.5764428511,Skip: below threshold,—,,,2.265074243168623
24,1012438,723395.195617574,246601.47822957035,724368.6247955494,Bid,Yes,578195.3971933827,145199.7984241913,0.13456395395940754
25,1014038,1356913.2699334042,1273357.660948748,1018217.2742306064,Skip: below threshold,—,,,-24.960769653274937
26,1002536,129433.60688820126,136717.35646350004,258960.09902945723,Bid,No,,,100.07176285609883
27,1000354,461543.75516956166,167415.78616520565,428617.1096089154,Bid,Yes,341916.6481329879,119627.10703657375,-7.134024714200647
28,1006279,206418.0225281602,51780.721675585664,311187.792098458,Bid,No,,,50.756115327093
29,1000016,765928.9898326914,839583.9714086858,632786.7073699768,Skip: below threshold,—,,,-17.38311047500605
30,1004142,820305.2764655001,994974.7075804926,571893.874034344,Skip: below threshold,—,,,-30.282799533059407
