,zpid,True Value,Asking Price,Prediction,Decision,Won?,Cost Paid,Profit,Pred Error (%)
0,1002737,502624.9492076392,366891.4065899016,464046.726790931,Bid,No,,,-7.675349677234417
1,1003974,604246.6348241424,361982.25995900884,735122.3918159377,Bid,No,,,21.65932740856469
2,1012957,237118.4789625022,247085.68464080247,177295.12220015394,Skip: below threshold,—,,,-25.229310268900935
3,1010079,218532.58661201704,168037.56063136546,240357.08293126355,Bid,No,,,9.986838419660376
4,1002013,332627.8991596639,218789.26293165062,264504.8870657539,Bid,No,,,-20.480246024465433
5,1004630,522349.5766698024,486783.34975828486,652100.9931783476,Bid,No,,,24.839958201127462
6,1015003,426888.5416862752,328278.7695098091,466593.4245272152,Bid,No,,,9.300995216245344
7,1012010,672250.5196064847,715595.2381976619,581964.6563596202,Skip: below threshold,—,,,-13.430389507131235
8,1001365,170949.70329869658,142831.52487650508,224023.5494554081,Bid,No,,,31.046468717162252
9,1016010,1813680.017594878,1969683.5434450682,1536380.1952385337,Skip: below threshold,—,,,-15.289346503584014
10,1009210,1047045.380811078,734973.4763403025,662026.9433693717,Skip: below threshold,—,,,-36.77189589848126
11,1008934,421523.2577951951,608056.7271297182,448107.3980599602,Skip: below threshold,—,,,6.306684097056757
12,1005100,544348.593657904,431111.86855879944,480224.03486408974,Bid,No,,,-11.780054094180926
13,1004783,459000,514852.03001624707,291478.7289577844,Skip: below threshold,—,,,-36.49700894165917
14,1014949,183887.8000117364,186769.1939951039,182037.6897932438,Skip: below threshold,—,,,-1.00610819117664
15,1005582,521682.1376226089,426665.9670758438,489940.3422820476,Bid,Yes,435199.28641736065,86482.85120524827,-6.084508755698225
16,1000800,1030617.8200823088,498539.10860410373,708494.9052755447,Bid,Yes,508509.89077618584,522107.929306123,-31.25532166531316
17,1009042,527521.3546566322,491148.64984146977,385999.6265945072,Skip: below threshold,—,,,-26.82767755520392
18,1005539,494047.42020986887,279147.5473832308,412015.8018067757,Bid,Yes,352928.2335259996,141119.18668386928,-16.60399691354457
19,1004136,504954.375180098,219954.5310954798,427853.4275089949,Bid,No,,,-15.268893876521844
20,1004126,489685.5096931944,826975.4836658395,511516.4226496589,Skip: below threshold,—,,,4.458149674500755
21,1011674,1349596.6029723992,1379363.6019038348,922916.4005626084,Skip: below threshold,—,,,-31.615387995943028
22,1001897,714754.2960506481,911932.1048952064,625731.9710748993,Skip: below threshold,—,,,-12.45495486597825
23,1010491,280013.5823429541,109959.63418467657,325687.661002496,Bid,No,,,16.311379711431766
24,1000911,278317.10795027047,220513.2169569498,369030.0257940957,Bid,No,,,32.593367512296
25,1006744,350648.5088777797,405939.4247776246,812958.6469540845,Bid,Yes,414058.2132731771,-63409.70439539739,131.8443188467815
26,1005075,168845.20884520884,193560.32936663378,214594.04483252944,Bid,No,,,27.095134235796692
27,1012426,1000000,295175.16425426793,864075.5528658376,Bid,Yes,301078.6675393533,698921.3324606468,-13.59244471341624
28,1002455,303687.3909118267,310786.2113849572,331518.0076965733,Skip: below threshold,—,,,9.1642319100522
29,1005821,1135580.106999272,1394215.1869370353,1157926.885549903,Skip: below threshold,—,,,1.9678733726395954
30,1008958,405500.2235136344,105159.2857793444,367807.4607742872,Bid,No,,,-9.295374096897351
31,1005467,464802.627742901,460197.8757453868,719041.6614824095,Bid,Yes,469401.8332602946,-4599.205517393595,54.698278057097646
32,1007274,276118.3489589675,292157.512966688,366780.2363998467,Bid,Yes,298000.6632260218,-21882.314267054317,32.8344305196291
33,1017293,828220.2577248164,716437.2966838317,691354.0621794328,Skip: below threshold,—,,,-16.525337827568404
34,1010996,682355.5708390647,839392.5856537642,578286.0024813368,Skip: below threshold,—,,,-15.251515896581274
35,1014742,746122.5118392176,751570.3090165854,1238863.8708348123,Skip: no budget,—,,,66.04027504557801
36,1001403,724835.6997971602,306569.6221008642,530072.967536785,Bid,Yes,312701.01454288146,412134.68525427877,-26.869914425417797
37,1006000,1320012.5957804136,620024.6728997733,1331418.656942312,Skip: no budget,—,,,0.864087297224225
38,1016348,56590.88631494861,40187.260697538695,1102848.6577785346,Bid,No,,,1848.809657514084
39,1005610,696553.4027221778,1208862.492835596,354610.18054031726,Skip: below threshold,—,,,-49.090740328813744
40,1000716,644571.1178576284,551075.4446272712,492441.8325504296,Skip: below threshold,—,,,-23.60162922174257
41,1006924,616359.7225544128,573843.6564279626,534585.7088258719,Skip: below threshold,—,,,-13.267254613854456
42,1000290,946430.6855934762,760125.9405266081,446198.4835285588,Skip: below threshold,—,,,-52.85460516860121
43,1010244,443559.2438911942,464862.0087977218,266853.9238550481,Skip: below threshold,—,,,-39.838042486945035
44,1012781,908166.800607197,536674.8855429534,561159.3669471245,Skip: below threshold,—,,,-38.209658559205714
45,1008189,1541411.7037420883,1124212.5808548792,1181921.0206063404,Skip: below threshold,—,,,-23.322171634159236
46,1006822,403980.05617365934,322072.5907560297,418082.8717390833,Bid,Yes,328514.0425711503,75466.01360250905,3.490968266849686
47,1017365,560565.7374716762,405875.4080276905,591852.9357744978,Skip: no budget,—,,,5.58136115202768
48,1002295,738633.5136684461,407135.7984091242,425860.5175858311,Skip: below threshold,—,,,-42.34481516134006
49,1009997,1366446.5801616234,1988450.8226478787,754490.9519038681,Skip: below threshold,—,,,-44.78445313137475
50,1017414,1506499.312242091,1407872.8905495924,1284880.470093673,Skip: below threshold,—,,,-14.710849208327033
51,1006690,131200.18182851298,82468.08683322767,131734.16381713827,Bid,Yes,84117.44856989222,47082.73325862076,0.40699790288646803
52,1015918,381968.9534301452,403949.170530288,371063.10284355993,Skip: below threshold,—,,,-2.8551667586197587
53,1000347,497046.4181792989,597674.3956813549,438525.9786068771,Skip: below threshold,—,,,-11.77363671320368
54,1013209,595264.6775745909,562156.3854990089,638836.6235007639,Skip: no budget,—,,,7.319760027372552
55,1004473,439293.533668517,46446.74755779889,632217.8685885314,Bid,Yes,47375.682508954866,391917.8511595621,43.91695304706934
56,1011708,822813.3543533356,676199.7086108112,869106.2223418923,Skip: no budget,—,,,5.626168771280963
57,1004596,451949.7936726273,112233.10005283474,531520.0734546522,Bid,Yes,114477.76205389143,337472.03161873587,17.605999802637847
58,1009132,670778.982062496,393894.84253006865,722859.5217228818,Skip: no budget,—,,,7.764187765730187
59,1006105,914391.8546381268,1376018.307088591,855116.5781459729,Skip: below threshold,—,,,-6.482480808582032
60,1008556,430418.7558826046,441090.5302102619,527644.8821440913,Skip: no budget,—,,,22.588728983735287
61,1004172,1031871.5589265776,1156432.9353856964,1200640.056940575,Skip: below threshold,—,,,16.35557221768586
62,1003474,78725.65599258087,51779.480190504284,147178.73600713644,Bid,Yes,52815.06979431437,25910.5861982665,86.9514253663464
63,1013868,813346.5130963008,20804.771736252365,602920.7337907116,Bid,Yes,21220.867170977413,792125.6459253234,-25.871602806106157
64,1009679,906840.008797439,559032.0019951717,1088525.2674472935,Skip: no budget,—,,,20.034984880165066
65,1015350,472104.8111857316,460846.3933709546,442000.79186093993,Skip: below threshold,—,,,-6.3765542336208885
66,1004549,415000,114401.30857803223,460688.74874221534,Bid,Yes,116689.33474959288,298310.6652504071,11.009337046316949
67,1003582,115591.13492298346,70375.47989610682,255882.7662347338,Bid,Yes,71782.98949402895,43808.14542895451,121.36885013303522
68,1016391,807960.1123473187,872900.2407261501,981158.8029765432,Skip: no budget,—,,,21.43653974774084
69,1012357,460413.8302166016,203062.8373443307,483831.5829153422,Bid,Yes,207124.09409121732,253289.73612538428,5.086240065317694
70,1003817,1089996.561210454,1404272.4320198426,1220498.19698358,Skip: below threshold,—,,,11.972664907144518
71,1011341,236176.9679777426,286161.76671304106,281903.1291747378,Skip: below threshold,—,,,19.360973929220915
72,1013939,934161.0403733744,1211693.7908438246,806864.9259866812,Skip: below threshold,—,,,-13.626784771051273
73,1013837,273289.3160323247,165437.51912625338,251914.5994326549,Bid,Yes,168746.26950877844,104543.04652354625,-7.821277798193021
74,1001665,619175.6620673817,444778.1811023384,554754.5222111017,Skip: no budget,—,,,-10.404339802566291
75,1004759,522816.7020523708,928578.8582734447,661783.8335792569,Skip: below threshold,—,,,26.58046902123752
76,1014571,546331.4665300426,440937.936048104,742403.0888764274,Skip: no budget,—,,,35.88876613527493
77,1016049,243552.75288858733,32079.075593823654,196603.5661783432,Bid,Yes,32720.657105700127,210832.0957828872,-19.27680395865652
78,1003596,401689.24736055103,448491.9319663721,334976.32185101585,Skip: below threshold,—,,,-16.608093432397638
79,1002811,396810.5158147996,585072.8496989335,626826.5066778153,Skip: below threshold,—,,,57.96620343861285
80,1001987,320925.8883248731,382133.5370978581,288338.788717906,Skip: below threshold,—,,,-10.154088776402862
81,1009581,448617.2106824926,508583.02599627146,411019.3919029491,Skip: below threshold,—,,,-8.380823981840777
82,1009398,451404.80437916965,696746.6652101575,399213.9828512683,Skip: below threshold,—,,,-11.56186664864609
83,1006554,144249.09136848652,119720.95318226278,286245.42150824284,Bid,Yes,122115.37224590803,22133.71912257849,98.43828393831924
84,1011234,141452.88359042848,180211.76910932746,189470.9626576858,Skip: below threshold,—,,,33.946341600424255
85,1011023,177826.4822279672,185155.43200414648,126792.835239074,Skip: below threshold,—,,,-28.698564099957785
86,1014967,339771.4162874852,243421.36180935887,355938.4742421054,Skip: no budget,—,,,4.758216018071689
87,1016411,85681.92299595042,49949.241386142756,119071.58755472364,Bid,Yes,50948.226213865615,34733.6967820848,38.96932210584409
88,1000231,300776.08753669605,281384.3038360562,322878.78588474856,Skip: no budget,—,,,7.348555707692647
89,1005896,446994.737867862,594197.8160418725,422086.3985732212,Skip: below threshold,—,,,-5.57240101157613
90,1007297,406039.91596638656,531538.3047753965,435401.4813772442,Skip: below threshold,—,,,7.231201725814643
91,1015874,1312347.0470352469,1229432.745887032,1247782.453957281,Skip: below threshold,—,,,-4.919780421179377
92,1012510,838611.0143942933,418543.1470272165,989572.1220943418,Skip: no budget,—,,,18.00132661137103
93,1010718,879919.4573477678,767274.6778061698,96942.97005778262,Skip: below threshold,—,,,-88.9827450400988
94,1007767,234447.9575905014,339646.90607957804,244214.37087006305,Skip: below threshold,—,,,4.165706274404895
95,1016372,453367.1656939863,325389.1606485659,411629.66176001326,Skip: no budget,—,,,-9.206115284084115
96,1011659,368004.17282448057,241372.78066210303,313317.8174299436,Skip: no budget,—,,,-14.860254158210214
97,1007210,473572.00459421816,437718.83499972534,433230.4992226609,Skip: below threshold,—,,,-8.518557891977592
98,1009794,641051.7702253014,157496.88574645383,854648.6371867507,Skip: no budget,—,,,33.319753081155895
99,1000908,615255.214050494,712874.0539432996,967267.619674262,Skip: no budget,—,,,57.21404672157371
100,1007619,387757.0803342135,410719.6081122651,388284.8026927817,Skip: below threshold,—,,,0.13609612443784924
101,1008971,129273.617975571,161601.43318420695,124482.87636917928,Skip: below threshold,—,,,-3.7058927269267206
102,1006907,143722.8858792346,123784.66491739369,183703.9964720985,Skip: no budget,—,,,27.81819356623455
103,1008059,512517.09136109386,322053.64125799737,482468.36145486136,Skip: no budget,—,,,-5.86297128675884
104,1001435,977685.3625170998,1700846.2389152625,901156.14156282,Skip: below threshold,—,,,-7.827591972662
105,1003829,429281.5557217652,145477.65569722775,352064.6061225848,Skip: no budget,—,,,-17.987483638646676
106,1006723,1059585.4034606817,105636.70408040182,1070770.8395940424,Bid,Yes,107749.43816200986,951835.9652986719,1.0556427161820359
107,1005846,171885.6314287009,160477.62207399763,174732.0798795696,Skip: no budget,—,,,1.6560130286686643
108,1012769,672890.0782059738,645548.3273190861,532445.6797750074,Skip: below threshold,—,,,-20.871818886884512
109,1013907,259795.73595135173,243104.80925256573,362877.9307905884,Skip: no budget,—,,,39.67817041405922
110,1008518,637971.4562837745,33046.158027899575,455711.9520541144,Bid,Yes,33707.08118845757,604264.3750953169,-28.568598553191336
111,1011274,340128.8779962939,260122.56913364914,238064.06980819057,Skip: below threshold,—,,,-30.007686730209198
112,1004205,1801023.3654579492,783352.3210413338,1002114.7000131974,Skip: no budget,—,,,-44.35859527239459
113,1005021,336637.7198842129,235203.96491440345,410257.560650129,Skip: no budget,—,,,21.869159757628402
114,1008659,176298.65534324132,162466.3501857794,187047.17181388623,Skip: no budget,—,,,6.096765996154817
115,1011591,100406.67234871544,44949.81484397443,206097.66627350595,Bid,Yes,45848.81114085392,54557.86120786152,105.2629187408208
116,1001462,603965.0369801172,635798.0146477354,650176.5699550996,Skip: below threshold,—,,,7.6513589604531544
117,1015274,180405.46921896885,145809.37612088415,298797.0665880769,Skip: no budget,—,,,65.62528169553946
118,1011569,237793.602306884,220578.97590763998,181957.3657774533,Skip: below threshold,—,,,-23.480966681925853
119,1016353,504675.3955913634,229124.5192711386,405137.5710470136,Skip: no budget,—,,,-19.7231379642977
120,1016753,260938.3194549584,369842.3163446088,177321.833013704,Skip: below threshold,—,,,-32.0445408769055
121,1007061,346053.3633972191,266825.9777628377,310206.0593042055,Skip: no budget,—,,,-10.358894865548834
122,1007947,856156.485103822,410527.2395701448,954770.0434650546,Skip: no budget,—,,,11.518169876301789
123,1005721,89770.30541276082,131549.48479986264,1257427.4518257997,Skip: no budget,—,,,1300.7164685963705
