,zpid,True Value,Asking Price,Prediction,Decision,Won?,Cost Paid,Profit,Pred Error (%)
0,1014615,717078.2608695652,587111.7509356429,873759.2244191756,Bid,Yes,728516.0488293483,-11437.787959783105,21.84991124394306
1,1007061,346053.3633972191,30015.579937413764,341710.2414701972,Bid,No,,,-1.2550439863913738
2,1009545,810315.1189319841,1087595.6631377228,624615.1980516475,Skip: below threshold,—,,,-22.917000626261764
3,1013961,180780.938780112,220096.68403611812,338029.5290461704,Bid,No,,,86.98294816209771
4,1012749,665471.3520651456,360965.72592125327,520176.0216033344,Bid,No,,,-21.833446325062493
5,1006244,636550.9748985077,525070.8605313203,620288.0995941217,Bid,Yes,535572.2777419467,100978.69715656096,-2.5548425728165745
6,1015517,291321.2327932757,281595.4385272363,262679.56770917616,Skip: below threshold,—,,,-9.831643512377937
7,1009118,621051.5415391857,438212.2090638691,734460.7402836106,Bid,Yes,555964.9460605152,65086.59547867044,18.260835238144132
8,1009036,524481.296523132,430463.18324565294,531153.2105714739,Bid,Yes,439072.446910566,85408.849612566,1.2720976119779812
9,1009691,1190987.8682842287,97906.15474730161,510582.5112253162,Bid,Yes,424821.0216235528,766166.846660676,-57.12949520125037
10,1002758,523707.9118747402,599768.4243570236,529152.4622518562,Skip: below threshold,—,,,1.0396158342588178
11,1009740,971051.899733173,1444630.6087968023,1085271.3847509795,Skip: below threshold,—,,,11.762449056450217
12,1003948,1031897.7635782748,1196305.500976501,897128.4756652897,Skip: below threshold,—,,,-13.060333365356898
13,1011669,112626.4308012487,85670.95978620961,94846.51380997166,Bid,Yes,87384.37898193381,25242.05181931489,-15.786629181788753
14,1005608,433308.37438423646,235351.29854423454,390560.0653906709,Bid,Yes,318486.918260339,114821.45612389746,-9.865562615611594
15,1013805,1074216.2396873643,810251.540110203,1062985.8361396838,Skip: no budget,—,,,-1.0454509187972174
16,1009973,467239.1649436404,504521.7695805485,563102.6274698563,Skip: no budget,—,,,20.517000653782773
17,1007301,758568.4381338742,806958.1777191134,782149.5461593678,Skip: below threshold,—,,,3.1086328985034712
18,1009289,678417.8913738019,740769.8804302532,503365.71621130034,Skip: below threshold,—,,,-25.803000980416275
19,1002248,443786.2703467799,472211.4916055008,413725.5393999734,Skip: below threshold,—,,,-6.773695572717172
20,1007270,1036951.0758052068,1114912.7558656908,1324559.399700332,Skip: no budget,—,,,27.73595887074936
21,1013606,404874.8022475588,105046.49145246383,440403.2266969544,Bid,No,,,8.775163149736331
22,1007555,134997.76765782657,131459.8170841603,126833.52691910834,Skip: below threshold,—,,,-6.04768573611662
23,1004755,860529.3768545993,970803.9125779745,928167.4818369468,Skip: below threshold,—,,,7.8600576344735344
24,1017130,575969.3480473349,486743.8427980364,533345.3747909273,Skip: no budget,—,,,-7.400389170172418
25,1007338,1092679.567403335,924079.2607362298,845324.0927426124,Skip: below threshold,—,,,-22.6375125919617
26,1011466,352869.613303314,150979.51422238362,384544.7858971912,Bid,No,,,8.97645232111566
27,1001855,216182.20712218448,189230.00211881642,336590.6393957224,Bid,No,,,55.69766072629837
28,1002028,295339.2466224582,325720.3864139319,229316.4137893166,Skip: below threshold,—,,,-22.35491340490238
29,1015008,1493306.0085154497,1972806.3404629426,965579.785549285,Skip: below threshold,—,,,-35.33945621037156
30,1017298,434026.42757185845,285743.33211295924,484969.99129608326,Bid,Yes,291458.1987552184,142568.22881664004,11.737433595743537
31,1006638,1096535.922753805,676505.3059017457,1171046.162144126,Skip: no budget,—,,,6.795056855337508
32,1014114,269807.6168040832,344009.67468662775,231127.16703206432,Skip: below threshold,—,,,-14.336307562475579
33,1011860,550016.6744480757,713566.1453000928,622758.1565193887,Skip: below threshold,—,,,13.225323058488495
34,1004798,1313778.6093608122,389758.0273820826,1111384.3869255611,Bid,Yes,397553.1879297242,916225.421431088,-15.405504473369467
35,1015958,264288.6568239107,53568.68919332421,242715.4280499761,Bid,Yes,202806.87277133763,61481.784052573086,-8.16275243636671
36,1005137,135672.72007912956,82584.20846641473,118853.21444003622,Bid,No,,,-12.397116848017466
37,1011951,1756742.4449922396,2829586.018578457,970421.5891728286,Skip: below threshold,—,,,-44.76016720953563
38,1005636,746280.5429864253,860684.6418307773,789352.346680187,Skip: below threshold,—,,,5.771529768336083
39,1006554,144249.09136848652,115485.11781619553,288517.88052645145,Bid,No,,,100.01365539934535
40,1000317,294540.5839807125,459278.98432984593,376054.5250995296,Skip: below threshold,—,,,27.674943811530866
41,1012605,97451.84741959612,57436.4052669995,278032.63656828814,Bid,Yes,218501.30918765394,-121049.46176805782,185.3025816649423
42,1017160,975786.2763037512,10000,895400.3407567511,Bid,No,,,-8.238067853495492
43,1008465,171395.31661355135,194939.47794839382,227411.84342680915,Bid,Yes,198838.26750736168,-27442.95089381034,32.68264729751015
44,1014020,393676.600968424,547586.5691154172,614287.4547020473,Skip: no budget,—,,,56.03859949789549
45,1012825,393668.74308668566,463463.22007070965,478840.5246966472,Skip: below threshold,—,,,21.635393488988978
46,1012150,190865.9372369845,297307.1681255644,224077.26447825367,Skip: below threshold,—,,,17.400342733776043
47,1007724,293984.74796949595,371105.0301653832,265479.4618725691,Skip: below threshold,—,,,-9.696178558176278
48,1003991,1284378.8068418857,789787.9186960087,717373.1562555885,Skip: below threshold,—,,,-44.14629450173564
49,1016820,339644.9729965632,215480.2899056539,446505.57541008014,Skip: no budget,—,,,31.462441934801806
50,1015559,610502.1512973566,144066.92979796525,559527.7088644804,Bid,Yes,146948.26839392455,463553.882903432,-8.349592597594
51,1013848,321232.9042271524,174428.3974732194,357383.2693811262,Skip: no budget,—,,,11.253630832416505
52,1013059,279997.22640940605,231735.4943147203,344596.5964059854,Skip: no budget,—,,,23.071432108446505
53,1006660,176245.98354525058,234490.648167081,154981.92924626198,Skip: below threshold,—,,,-12.064986600689895
54,1003938,248945.7846238482,246774.18600889336,221305.8822504488,Skip: below threshold,—,,,-11.102779834236875
55,1014318,529164.9020136296,391636.5502356803,794025.6312440543,Skip: no budget,—,,,50.05258818613083
56,1013613,447583.4958107182,182595.78468185043,335123.73780094495,Skip: no budget,—,,,-25.125984104054673
57,1004920,580698.315826536,877927.1536879541,491714.2933988725,Skip: below threshold,—,,,-15.323623300165472
58,1011617,457640.25292614015,502250.4465654631,376469.9708975192,Skip: below threshold,—,,,-17.736700718439916
59,1000217,322774.7574680626,405395.355486056,283877.37090409297,Skip: below threshold,—,,,-12.050938205047961
60,1007360,258079.52871870395,292040.38585503836,507682.653648599,Skip: no budget,—,,,96.71558459871189
61,1010529,971606.7285382831,1264306.2723297635,946837.2165732648,Skip: below threshold,—,,,-2.5493351617976554
62,1013763,729751.4601400723,941609.8454231112,865547.5709327222,Skip: below threshold,—,,,18.608542525777818
63,1008435,150051.4686768911,153444.4367882193,178470.2270162703,Skip: no budget,—,,,18.93934034099587
64,1004768,164967.14474621095,66382.03101977715,225812.0303481899,Bid,Yes,67709.67164017269,97257.47310603826,36.88303249449098
65,1016948,397495.74685267097,387984.08456717123,244703.82313129093,Skip: below threshold,—,,,-38.43863108754502
66,1000741,1209535.6308994032,1534234.4483962923,1026221.9538483936,Skip: below threshold,—,,,-15.155707063767826
67,1009001,384773.3119829197,377732.8043398099,410579.0403360565,Skip: no budget,—,,,6.706735511396989
68,1014061,498950.81058611616,475684.72345510626,485717.9773177609,Skip: below threshold,—,,,-2.652131830953579
69,1010829,382935.0532086424,216539.84246647306,425535.2393981782,Skip: no budget,—,,,11.124650468163079
70,1005811,531995.9609559071,91423.5460589638,544689.5850685379,Bid,Yes,93252.01698014307,438743.94397576404,2.3860376852903964
71,1004893,893829.7826165588,623551.3638864394,941940.8449166396,Skip: no budget,—,,,5.382575433908963
72,1001519,415087.2483221477,35076.94078030269,204451.9842838417,Bid,Yes,35778.47959590875,379308.768726239,-50.74481687638661
73,1002077,535010.2887400553,405554.96898454725,346888.52970525,Skip: below threshold,—,,,-35.16226939818867
74,1005941,83448.40834248079,21070.528660696913,280994.783552937,Bid,Yes,21491.939233910853,61956.46910856994,236.72875149362432
75,1003699,728303.0819831891,536097.3963466635,640638.8606507037,Skip: no budget,—,,,-12.036777476455732
76,1014911,231880.75348075348,250698.79490528788,302703.9978009718,Skip: no budget,—,,,30.542959369026185
77,1012123,356857.5056360291,261930.73353691082,364464.8043029574,Skip: no budget,—,,,2.1317468588392794
78,1005211,393628.27996290434,489481.86345044617,427716.9022755624,Skip: below threshold,—,,,8.660104989374895
79,1007910,1355364.8709502262,1413540.82826869,1402002.231990641,Skip: below threshold,—,,,3.4409450945646847
80,1001427,293434.2253367706,177613.76199127708,274110.5882290442,Skip: no budget,—,,,-6.585338532186856
81,1013425,859561.5073406004,796433.3805647416,790290.5920810157,Skip: below threshold,—,,,-8.058866604427429
82,1001507,224308.6053412463,76710.95257013537,184438.3909032298,Skip: no budget,—,,,-17.774714606851994
83,1003215,1061477.594128674,1258980.9136457762,674942.8383286415,Skip: below threshold,—,,,-36.41478236922409
84,1012872,203501.75828243568,227303.18887006352,199810.13994198688,Skip: below threshold,—,,,-1.8140473928118497
85,1001692,475918.2135117309,647583.9271972636,461287.2980825567,Skip: below threshold,—,,,-3.074249947530862
86,1002935,606439.9483426603,1021364.3938606243,603808.5404702189,Skip: below threshold,—,,,-0.4339107078339466
87,1007673,994289.54607978,781472.6252905849,1033545.882163736,Skip: no budget,—,,,3.948179505530697
88,1002821,951168.473879062,956780.7244076565,1234470.6784756512,Skip: no budget,—,,,29.78465039334453
89,1006741,1340665.6439671847,1392110.7612999785,1097835.153467597,Skip: below threshold,—,,,-18.11268093519755
90,1000436,428407.4379276987,522970.20190045564,394584.8974023426,Skip: below threshold,—,,,-7.894947083310043
