,zpid,Outcome,Asking Price,My Prediction,Decision,Won?,Cost Paid,True Value,Profit,Auction Bids,Winner
0,1009171,Auction Lost,370651.06103292655,426012.50709515234,Bid,No,,,,"Aragorn: $459,029, Pippin: $459,029, Legolas: $413,779, Gimli: $390,077, Frodo: $377,394, You: $362,111",Aragorn
1,1010312,Auction Lost,563906.1355752737,912794.7092386052,Bid,No,,,,"Merry: $849,909, You: $775,876, Frodo: $739,677, Gimli: $699,525, Aragorn: $676,152, Pippin: $676,152",Merry
2,1010338,Skip,,157680.1851651942,Skip: below threshold,—,,,,,
3,1003715,Skip,,298909.9136224254,Skip: below threshold,—,,,,,
4,1004826,Skip,,1057762.0464846618,Skip: below threshold,—,,,,,
5,1002893,Skip,,834235.4130093089,Skip: below threshold,—,,,,,
6,1017158,Skip,,191877.51073066087,Skip: below threshold,—,,,,,
7,1003801,Skip,,1248358.850952982,Skip: below threshold,—,,,,,
8,1002114,Auction Lost,310952.17078084155,350546.5986313549,Bid,No,,,,"Legolas: $1,652,949, Aragorn: $362,697, Pippin: $362,697, Merry: $356,779, Frodo: $307,340, You: $297,965, Gimli: $293,651",Legolas
9,1016806,Auction Lost,211869.64362657676,462525.4621040676,Bid,No,,,,"Legolas: $1,375,078, Aragorn: $487,158, Pippin: $487,158, You: $393,147, Gimli: $385,939, Frodo: $369,021",Legolas
10,1005556,Auction Lost,118603.70861830986,495646.4398897687,Bid,No,,,,"Merry: $1,695,594, Aragorn: $552,851, Pippin: $552,851, Gimli: $441,067, You: $421,299, Frodo: $413,300, Legolas: $402,960",Merry
11,1009287,Auction Lost,337593.32129796926,382834.20509827166,Bid,No,,,,"Legolas: $831,215, Merry: $447,110, Aragorn: $364,427, Pippin: $364,427, You: $325,409",Legolas
12,1002832,Auction Lost,372953.18472655676,523160.31873729225,Bid,No,,,,"Merry: $1,142,758, Legolas: $640,279, You: $444,686, Frodo: $427,537, Gimli: $392,168, Aragorn: $364,439, Pippin: $364,439",Merry
13,1001360,Auction Lost,456269.30662914016,662823.8378052202,Bid,No,,,,"Merry: $1,559,319, Legolas: $740,919, You: $563,400, Frodo: $553,605, Aragorn: $531,695, Pippin: $531,695, Gimli: $515,840",Merry
14,1005319,Skip,,1409463.166519065,Skip: below threshold,—,,,,,
15,1005184,Skip,,344603.84729701205,Skip: below threshold,—,,,,,
