,zpid,Outcome,Asking Price,My Prediction,Decision,Won?,Cost Paid,True Value,Profit,Auction Bids,Winner
0,1010209,Skip,,525456.7413306577,Skip: below threshold,—,,,,,
1,1005491,Skip,,155278.8188842617,Skip: below threshold,—,,,,,
2,1007211,Auction Lost,238271.9085252508,259680.7001659037,Bid,No,,,,"Merry: $946,273, Legolas: $944,979, You: $220,729",Merry
3,1004425,Auction Lost,89663.3213997654,635318.4644062553,Bid,No,,,,"Legolas: $1,533,891, Merry: $1,279,345, Aragorn: $587,821, Pippin: $587,821, Frodo: $577,343, Gimli: $564,995, You: $540,021",Legolas
4,1003520,Skip,,546095.4554739824,Skip: below threshold,—,,,,,
5,1006446,Skip,,556907.719554692,Skip: below threshold,—,,,,,
6,1014258,Auction Lost,325753.2882670624,744013.4616335263,Bid,No,,,,"Merry: $1,484,718, Legolas: $1,482,279, Aragorn: $715,739, Pippin: $715,739, Frodo: $696,044, Gimli: $646,295, You: $632,411",Merry
7,1003541,Auction Lost,354815.8259897316,558299.2904386241,Bid,No,,,,"Merry: $1,668,133, You: $474,554, Frodo: $447,445, Gimli: $423,673, Aragorn: $394,311, Pippin: $394,311",Merry
8,1003536,Skip,,488827.05812185246,Skip: below threshold,—,,,,,
9,1010900,Loss,374131.6644007235,486825.3150739674,Bid,Yes,381614.2976887379,334940.22078733594,-46674.076901401975,"You: $413,802, Frodo: $344,743",You
10,1001159,Skip,,229881.4112032924,Skip: below threshold,—,,,,,
11,1003281,Auction Lost,200553.15392052464,467646.3926505926,Bid,No,,,,"Legolas: $1,575,197, Merry: $1,192,333, You: $397,499, Frodo: $364,296, Aragorn: $347,660, Pippin: $347,660, Gimli: $337,228",Legolas
12,1000219,Skip,,963052.0265614216,Skip: below threshold,—,,,,,
13,1011969,Auction Lost,131925.45171306704,342353.9487287062,Bid,No,,,,"Legolas: $1,615,448, Frodo: $315,160, You: $291,001, Gimli: $282,425, Aragorn: $274,339, Pippin: $274,339",Legolas
14,1001028,Auction Lost,57811.67917752314,446358.904294758,Bid,No,,,,"Merry: $1,628,054, Legolas: $624,269, You: $379,405, Aragorn: $359,566, Pippin: $359,566, Frodo: $306,082, Gimli: $304,865",Merry
15,1017289,Auction Lost,486640.09949084575,675745.3155416042,Bid,No,,,,"Frodo: $612,204, You: $574,384, Aragorn: $573,611, Pippin: $573,611, Gimli: $501,883",Frodo
16,1013236,Skip,,970076.5589390028,Skip: below threshold,—,,,,,
17,1010660,Auction Lost,236885.3602763004,439105.7493556314,Bid,No,,,,"Aragorn: $397,612, Pippin: $397,612, You: $373,240, Gimli: $307,057, Frodo: $283,891",Aragorn
18,1013512,Skip,,330746.3748386531,Skip: below threshold,—,,,,,
19,1016307,Auction Lost,161991.52850846978,423624.6929786922,Bid,No,,,,"Frodo: $384,827, Aragorn: $368,277, Pippin: $368,277, Gimli: $363,238, You: $360,081",Frodo
20,1013397,Skip,,491220.5335667053,Skip: below threshold,—,,,,,
21,1017591,Auction Lost,132055.77268343963,150621.5370812748,Bid,No,,,,"Legolas: $422,407, Aragorn: $139,111, Pippin: $139,111, You: $128,028",Legolas
22,1001545,Skip,,471211.0777107187,Skip: below threshold,—,,,,,
23,1013101,Auction Lost,273974.1678729963,318808.97534071247,Bid,No,,,,"Aragorn: $295,745, Pippin: $295,745, You: $270,988, Frodo: $269,300",Pippin
24,1016621,Loss,500239.4184383166,632467.323277266,Bid,Yes,510244.2068070829,323130.9002785112,-187113.3065285717,"You: $537,597, Aragorn: $477,478, Pippin: $477,478",You
25,1001086,Skip,,396579.6832624328,Skip: below threshold,—,,,,,
26,1002114,Skip,,350546.5986313549,Skip: below threshold,—,,,,,
27,1013626,Profit,332491.5807871349,855516.192557322,Bid,Yes,665390.8545781787,806080.0078199458,140689.15324176708,"You: $727,189, Frodo: $652,344, Gimli: $600,962, Aragorn: $524,424, Pippin: $524,424",You
28,1015675,Skip,,192044.08923004864,Skip: below threshold,—,,,,,
29,1006109,Skip,,782105.4980905643,Skip: below threshold,—,,,,,
30,1013473,Skip,,443020.2091712239,Skip: below threshold,—,,,,,
31,1005856,Skip,,541524.2500062468,Skip: below threshold,—,,,,,
32,1000521,Profit,207206.6940035402,709043.3229580933,Bid,Yes,602992.9043094281,696117.4869287336,93124.58261930558,"You: $602,687, Frodo: $591,170, Gimli: $572,092, Aragorn: $386,496, Pippin: $386,496",You
33,1003572,Auction Lost,74614.31595805036,245894.37172391827,Bid,No,,,,"Legolas: $765,742, Aragorn: $320,892, Pippin: $320,892, Merry: $260,171, Frodo: $212,107, You: $209,010, Gimli: $208,462",Legolas
34,1001683,Auction Lost,549012.923443587,1060956.1646552484,Bid,No,,,,"Frodo: $1,003,722, Aragorn: $924,005, Pippin: $924,005, You: $901,813, Gimli: $890,609",Frodo
35,1004229,Skip,,144278.02404029804,Skip: below threshold,—,,,,,
36,1006391,Skip,,475048.931211488,Skip: below threshold,—,,,,,
37,1013305,Auction Lost,297281.9248468065,466026.0938601351,Bid,No,,,,"Aragorn: $403,325, Pippin: $403,325, You: $396,122, Frodo: $369,607, Gimli: $363,964",Aragorn
38,1013896,Auction Lost,471200.6048442531,687346.826368095,Bid,No,,,,"Aragorn: $914,367, Pippin: $914,367, You: $584,245, Gimli: $578,692, Frodo: $500,425",Pippin
39,1015560,Auction Lost,419679.5382511034,532031.4475883681,Bid,No,,,,"Frodo: $478,106, You: $452,227, Gimli: $441,091, Aragorn: $420,596, Pippin: $420,596",Frodo
40,1015582,Skip,,932858.09012588,Skip: below threshold,—,,,,,
41,1009204,Auction Lost,327663.89573226153,498719.07500281336,Bid,No,,,,"Gimli: $586,470, Frodo: $503,532, Aragorn: $435,245, Pippin: $435,245, You: $423,911",Gimli
42,1004939,Skip,,1128132.4340989753,Skip: below threshold,—,,,,,
43,1011343,Skip,,544329.5315793032,Skip: below threshold,—,,,,,
44,1013307,Skip,,1220397.5411246289,Skip: below threshold,—,,,,,
45,1003234,Auction Lost,239873.65428799932,311251.24000765634,Bid,No,,,,"Aragorn: $323,645, Pippin: $323,645, You: $264,564, Frodo: $231,607, Gimli: $221,254",Aragorn
46,1004005,Skip,,930363.3536072002,Skip: below threshold,—,,,,,
47,1006452,Auction Lost,340800.8716213463,433147.72071585193,Bid,No,,,,"Frodo: $384,610, You: $368,176, Gimli: $341,818, Aragorn: $339,919, Pippin: $339,919",Frodo
48,1004547,Skip,,480610.9558687497,Skip: below threshold,—,,,,,
49,1014259,Skip,,357951.665707609,Skip: below threshold,—,,,,,
50,1015805,Skip,,158812.22023823447,Skip: below threshold,—,,,,,
51,1006853,Auction Lost,343903.75813003135,523788.4275566044,Bid,No,,,,"Gimli: $465,417, Aragorn: $447,757, Pippin: $447,757, You: $445,220, Frodo: $434,178",Gimli
52,1007749,Skip,,652412.4420637247,Skip: below threshold,—,,,,,
53,1001830,Auction Lost,306104.2722150254,334108.7443756385,Bid,No,,,,"Frodo: $310,593, You: $283,992",Frodo
54,1016650,Skip,,379927.3967530841,Skip: below threshold,—,,,,,
55,1008549,Auction Lost,367974.6603982647,409375.6354425792,Bid,No,,,,"Aragorn: $382,035, Pippin: $382,035, You: $347,969",Aragorn
56,1010533,Loss,273047.6204123559,397065.5250735828,Bid,Yes,289365.7234830212,252916.74019941303,-36448.98328360816,"You: $337,506, Aragorn: $283,692, Pippin: $283,692, Frodo: $276,454, Gimli: $264,339",You
57,1010463,Skip,,844685.1146329776,Skip: below threshold,—,,,,,
58,1016438,Skip,,275410.3543900369,Skip: below threshold,—,,,,,
59,1013646,Auction Lost,239564.9431152821,306611.8302975492,Bid,No,,,,"Frodo: $287,085, Aragorn: $282,774, Pippin: $282,774, Gimli: $266,286, You: $260,620",Frodo
60,1014960,Skip,,577754.864586683,Skip: below threshold,—,,,,,
61,1010464,Skip,,693192.175579305,Skip: below threshold,—,,,,,
62,1010961,Auction Lost,93523.56175559631,230319.1626785352,Bid,No,,,,"Merry: $1,609,339, Aragorn: $387,559, Pippin: $387,559, Gimli: $234,834, Frodo: $234,342, You: $195,771",Merry
63,1006698,Auction Lost,399435.86814640503,500764.2214804107,Bid,No,,,,"Aragorn: $591,361, Pippin: $591,361, Gimli: $428,952, You: $425,650, Frodo: $414,679",Pippin
64,1014654,Auction Lost,218865.7760979661,247490.7100077973,Bid,No,,,,"Aragorn: $295,374, Pippin: $295,374, Gimli: $233,211, You: $210,367, Frodo: $204,666",Pippin
65,1005712,Profit,303807.2738302219,332581.7299423478,Bid,Yes,309883.41930682637,312125.856381629,2242.4370748026413,,
66,1000135,Skip,,944841.1645076976,Skip: no budget,—,,,,,
67,1010543,Profit,296083.82687947573,395599.2625108264,Bid,Yes,326513.2847145983,427138.8350440116,100625.55032941326,"You: $336,259, Aragorn: $320,111, Pippin: $320,111, Frodo: $314,555, Gimli: $303,520",You
68,1010122,Skip,,665715.5293122589,Skip: below threshold,—,,,,,
69,1006595,Skip,,434925.3806515488,Skip: below threshold,—,,,,,
70,1012529,Skip,,249559.5836708427,Skip: below threshold,—,,,,,
71,1013384,Skip,,651380.6739789994,Skip: below threshold,—,,,,,
72,1006357,Skip,,1107406.2337320484,Skip: below threshold,—,,,,,
73,1010776,Auction Lost,329562.38387370534,739427.5605575489,Bid,No,,,,"Aragorn: $743,836, Pippin: $743,836, You: $628,513, Gimli: $562,530, Frodo: $534,753",Aragorn
74,1013212,Auction Lost,111505.09541907374,257286.5743866564,Bid,No,,,,"Aragorn: $227,241, Pippin: $227,241, You: $218,694, Frodo: $200,311, Gimli: $185,511",Aragorn
75,1012457,Skip,,410908.5898736805,Skip: below threshold,—,,,,,
76,1001155,Auction Lost,151073.63425694348,392920.3848909383,Bid,No,,,,"Aragorn: $365,628, Pippin: $365,628, You: $333,982, Frodo: $258,883, Gimli: $236,247",Aragorn
77,1016601,Skip,,728289.603868044,Skip: below threshold,—,,,,,
78,1006880,Skip,,582599.0104277618,Skip: below threshold,—,,,,,
79,1017202,Skip,,617930.3999562184,Skip: below threshold,—,,,,,
80,1015543,Auction Lost,172541.35798371947,312499.1503324733,Bid,No,,,,"Aragorn: $390,883, Pippin: $390,883, Gimli: $269,252, Frodo: $268,052, You: $265,624",Aragorn
81,1004335,Auction Lost,139221.78996776853,162353.69975113147,Bid,No,,,,"Aragorn: $157,603, Pippin: $157,603, Frodo: $143,578, You: $138,001, Gimli: $130,368",Pippin
82,1006913,Skip,,335565.3343796529,Skip: below threshold,—,,,,,
83,1016282,Skip,,706623.3241295097,Skip: no budget,—,,,,,
84,1007722,Skip,,429095.90722007694,Skip: below threshold,—,,,,,
85,1017294,Auction Lost,381867.3764297894,730642.7331409173,Bid,No,,,,"Frodo: $651,402, Gimli: $651,235, Pippin: $649,881, You: $621,046",Frodo
86,1017337,Skip,,1070630.3070214938,Skip: below threshold,—,,,,,
87,1001555,Auction Lost,103696.18300022092,414919.9150209334,Bid,No,,,,"Aragorn: $476,912, Pippin: $476,912, Frodo: $362,573, You: $352,682, Gimli: $325,670",Aragorn
88,1005978,Auction Lost,226832.29875347335,387062.5415144926,Bid,No,,,,"Gimli: $342,959, You: $329,003, Pippin: $299,209, Frodo: $279,512",Gimli
89,1009326,Loss,219640.1870703867,403559.6974195055,Bid,Yes,326908.7727013429,306604.2790050444,-20304.49369629851,"You: $343,026, Gimli: $320,499, Frodo: $318,063, Pippin: $284,227",You
90,1003586,Auction Lost,224757.92421124337,454074.7644500756,Bid,No,,,,"Frodo: $396,094, You: $385,964, Pippin: $367,354, Gimli: $348,578",Frodo
91,1000976,Skip,,745984.0827124396,Skip: below threshold,—,,,,,
92,1008139,Skip,,351308.57135700254,Skip: below threshold,—,,,,,
93,1001466,Profit,177780.86895101712,384308.6111783233,Bid,Yes,277542.0663707308,417374.1399762752,139832.0736055444,"You: $326,662, Aragorn: $272,100, Pippin: $272,100, Gimli: $261,442",You
94,1017041,Skip,,993704.3123003546,Skip: no budget,—,,,,,
95,1010325,Auction Lost,101011.32339854998,228871.0263348153,Bid,No,,,,"Aragorn: $196,583, Pippin: $196,583, You: $194,540, Gimli: $186,374, Frodo: $180,537",Aragorn
96,1003809,Skip,,393787.9687207403,Skip: below threshold,—,,,,,
97,1013893,Skip,,446097.7041969358,Skip: below threshold,—,,,,,
98,1017299,Skip,,164107.09808230528,Skip: below threshold,—,,,,,
99,1013275,Skip,,558633.8963536548,Skip: below threshold,—,,,,,
100,1011824,Skip,,958673.3395296978,Skip: no budget,—,,,,,
101,1001390,Skip,,816119.7086192452,Skip: below threshold,—,,,,,
102,1017182,Auction Lost,288460.63461589126,426907.9239576924,Bid,No,,,,"Gimli: $365,996, You: $362,872, Pippin: $349,063",Gimli
103,1000649,Auction Lost,249694.1101228803,410786.58788311935,Bid,No,,,,"Pippin: $374,835, You: $349,169, Gimli: $321,472",Pippin
104,1007917,Skip,,391609.9369609785,Skip: below threshold,—,,,,,
