,zpid,True Value,Asking Price,Prediction,Decision,Won?,Cost Paid,Profit,Pred Error (%)
0,1017467,838734.3843279458,1236117.2383042716,709282.2215200852,Skip: below threshold,—,,,-15.434226285069604
1,1013272,105404.5466995344,142073.0210008428,124374.16136977462,Skip: below threshold,—,,,17.996960533699646
2,1005802,318401.60308887856,363312.3483163021,330743.5449043614,Skip: below threshold,—,,,3.876218491286218
3,1016378,1346000.860955661,943519.4383064663,1448879.6345684486,Bid,Yes,1245795.4075560777,100205.45339958323,7.643291813330919
4,1016709,558835.9091165785,905109.3121264018,349221.78912149585,Skip: below threshold,—,,,-37.50906421286452
5,1013928,426637.4509266868,237583.0536293234,354000.0388069253,Bid,Yes,252746.77156590708,173890.67936077973,-17.025559280365073
6,1000454,388988.0041693904,133215.75901376162,423965.18194115575,Bid,Yes,332438.7639168718,56549.24025251862,8.99183969604729
7,1015402,1452573.4416728222,1841096.969699484,1048822.927202174,Skip: below threshold,—,,,-27.79553190823029
8,1008452,541813.4034165571,537049.6694582776,453502.2026353316,Skip: below threshold,—,,,-16.299190869837172
9,1008006,209246.3841664552,135950.2244286507,153820.32120358065,Bid,No,,,-26.488420903265496
10,1011512,120753.99361022364,50214.37057338314,171718.633738577,Bid,Yes,119843.08150708441,910.9121031392278,42.205345433841146
11,1007189,735291.8302393837,1253945.735301261,481833.5495011457,Skip: below threshold,—,,,-34.47043341359055
12,1004025,65512.09126441895,39797.67795113791,136269.75390237867,Bid,No,,,108.00702782081657
13,1011090,730000,252610.2116767054,732185.6414757493,Bid,No,,,0.2994029418834683
14,1001854,377893.2006968465,240576.94923740433,383275.1276380145,Bid,Yes,315364.6880902117,62528.51260663482,1.424192584371334
15,1015260,986774.6686303386,1571357.3748287852,760923.4922088202,Skip: below threshold,—,,,-22.887816601028483
16,1004103,795246.09375,915838.0973187797,980582.4387748096,Skip: below threshold,—,,,23.30553352998593
17,1011540,581635.6205013202,366175.83938877966,625175.7041873012,Bid,Yes,523834.0475375408,57801.57296377944,7.485800757603732
18,1001779,1006261.9980217606,1114646.402649618,984747.6608673816,Skip: below threshold,—,,,-2.138045280123333
19,1012902,425956.3197670388,537097.3734106838,354279.8959863704,Skip: below threshold,—,,,-16.827176979054848
20,1005486,424976.2263015348,595755.8999810279,369715.1381701872,Skip: below threshold,—,,,-13.003336354193618
21,1000275,475163.6640446587,735828.6698608889,417307.2889322085,Skip: below threshold,—,,,-12.17609415247975
22,1000307,339894.84003208275,120537.8517459405,352601.3090908312,Bid,No,,,3.7383530322346417
23,1002204,391186.6091395785,634008.4549966333,382307.4390790016,Skip: below threshold,—,,,-2.2698041939898594
24,1000878,389127.972819932,509275.1063427743,264970.7132679919,Skip: below threshold,—,,,-31.906536724203466
25,1005949,313380.4102356441,405075.44454699504,355664.4296674504,Skip: below threshold,—,,,13.492872576180218
26,1012380,669416.015625,1010786.9803559713,660153.2036157504,Skip: below threshold,—,,,-1.3837153269482745
27,1010674,686967.5673644256,905983.4473230109,964331.2926034054,Skip: below threshold,—,,,40.3750829610625
28,1001540,432498.2819112381,105703.39597892473,668104.8743701642,Bid,Yes,542234.5877367803,-109736.3058255422,54.47572910989733
29,1007629,750000,260125.23772456785,877781.9284033481,Bid,No,,,17.037590453779742
30,1009505,1749505.071347613,1370813.6526941732,720611.8155663304,Skip: below threshold,—,,,-58.81053291195916
31,1004770,969309.4328533646,721078.301379351,889145.5543164044,Skip: no budget,—,,,-8.27020513985726
32,1005849,843232.7618855253,118208.54296221702,580224.2823960291,Bid,No,,,-31.19049583668826
33,1014563,118253.58500633627,100729.2142274833,173207.08367078437,Bid,Yes,148952.77237084327,-30699.187364507,46.47089444392199
34,1009507,380878.4813634474,177039.86271197125,401781.3442801937,Bid,Yes,280601.64957915124,100276.83178429614,5.488066125951615
35,1016159,505120.3576341128,519260.5870657032,484078.5208120306,Skip: below threshold,—,,,-4.165707539612573
36,1004465,1249215.4611557596,1349875.361713552,1108362.613780381,Skip: below threshold,—,,,-11.27530452153252
37,1001511,330316.9073125291,438715.7427322584,233492.0897804348,Skip: below threshold,—,,,-29.312704069514545
38,1007161,118214.19557200094,85001.9748322362,634517.7187369594,Bid,No,,,436.7525580720063
39,1003526,305000,114048.05656474283,290610.5637520243,Bid,Yes,244449.28359293856,60550.71640706144,-4.717847950155962
40,1011394,682004.9744538516,809895.6504121234,658042.7256220573,Skip: below threshold,—,,,-3.513500594476334
41,1008896,211721.7679819884,319164.58425678697,249137.5736525852,Skip: below threshold,—,,,17.67215814756461
42,1002728,444571.6526171339,422630.596064272,377256.80373749736,Skip: below threshold,—,,,-15.141507220121445
43,1005349,455449.0442800884,428117.7342487117,417644.3334590343,Skip: below threshold,—,,,-8.300535767027602
44,1008750,812079.8319327731,645853.2417408186,880480.8484034099,Skip: no budget,—,,,8.422942398143352
45,1009884,803082.260567881,974459.8724037969,468512.0546461216,Skip: below threshold,—,,,-41.66076407729089
46,1009867,218593.6834473696,214542.81949842264,182309.79998815004,Skip: below threshold,—,,,-16.598779473861406
47,1016427,341566.1911764706,215562.55189486739,496488.2138536399,Bid,No,,,45.356369183836655
