,zpid,True Value,Asking Price,Prediction,Decision,Won?,Cost Paid,Profit,Pred Error (%)
0,1012079,362539.72185414063,172252.8170532367,430032.0295242236,Bid,No,,,18.616527680030853
1,1012900,744387.8954607978,534819.8353451077,686496.676671568,Bid,No,,,-7.777023127625352
2,1014684,434907.1112623341,617312.4069644993,358315.760519815,Skip: below threshold,—,,,-17.610967666224134
3,1011630,249249.8230714792,247385.95743841064,245004.92540952592,Skip: below threshold,—,,,-1.703069478503069
4,1013172,461017.8028658272,548187.4168880832,455748.6916455263,Skip: below threshold,—,,,-1.1429300967438771
5,1010861,345680.4843968328,462051.44366459566,347128.28433608176,Skip: below threshold,—,,,0.41882605602545514
6,1005834,1249303.1147739668,748901.9072913612,899542.2963718092,Bid,No,,,-27.996473735314343
7,1017320,165751.73589962235,106329.58280196779,163637.34095945422,Bid,No,,,-1.2756396961348195
8,1008159,494022.9943661254,489299.39658029366,426670.351774904,Skip: below threshold,—,,,-13.63350357358177
9,1004494,269785.4469095225,310959.5878888624,219346.7234767304,Skip: below threshold,—,,,-18.695865181233316
10,1009792,419277.3840922813,390059.8845518262,232574.1153087768,Skip: below threshold,—,,,-44.529773335547205
11,1007362,420372.4681680185,675889.5798057419,383620.7431244648,Skip: below threshold,—,,,-8.742657482712309
12,1015265,1433931.5912934374,874548.0888816676,1098003.6720977314,Bid,Yes,892039.050659301,541892.5406341364,-23.42705337098346
13,1006794,248000.2532527145,246552.59042350572,250669.582178176,Skip: below threshold,—,,,1.0763412095153944
14,1000205,388080.4924420684,420609.95558824105,344073.5206204089,Skip: below threshold,—,,,-11.339650582470021
15,1007381,352567.05741422094,431531.18265128304,398415.40523174027,Skip: below threshold,—,,,13.004149665535378
16,1007904,1313491.0619111217,1502069.8322890897,1041463.2234870543,Skip: below threshold,—,,,-20.710292312782734
17,1017494,836757.488067947,529876.6036125721,876732.7577733167,Bid,Yes,747772.4472703721,88985.04079757491,4.777402087870366
18,1001002,278159.1114767585,427481.9991860187,336449.341458549,Skip: below threshold,—,,,20.95571476063654
19,1004307,493894.26400968846,520790.2263147822,444426.2830126619,Skip: below threshold,—,,,-10.015905144437182
20,1012438,723395.195617574,713319.2873573137,627315.0455929863,Skip: below threshold,—,,,-13.281834135290682
21,1000773,961691.6991793354,1525112.5993411914,550960.2117308243,Skip: below threshold,—,,,-42.709268240436195
22,1010477,550000,164702.1455344757,1023626.5077645398,Bid,Yes,875437.1023659046,-325437.1023659046,86.11391050264359
23,1006200,664663.384871386,678123.3750775906,360586.27506907965,Skip: below threshold,—,,,-45.749038795200974
24,1011509,131414.5051368121,43538.19336316994,250648.3831779349,Bid,No,,,90.7311395473366
25,1016411,85681.92299595042,68732.44899432304,103792.41894007073,Bid,No,,,21.136892486617352
26,1001389,1195491.3923286016,1703922.5335017985,641666.0212877425,Skip: below threshold,—,,,-46.326169690114384
27,1001010,296252.0411940168,150406.02197261993,277129.8632953865,Bid,No,,,-6.45469912091074
28,1002295,738633.5136684461,954195.3181081142,472875.3218038632,Skip: below threshold,—,,,-35.97970941565955
29,1014658,415444.4166874844,427727.76994471037,389353.5910133953,Skip: below threshold,—,,,-6.280220560459669
30,1015963,407024.62807319534,388450.4003999559,605778.206690725,Bid,No,,,48.83084828512829
31,1013571,650872.8294767643,964355.8758505936,554898.6159696314,Skip: below threshold,—,,,-14.745463193522223
32,1012185,624493.6424831713,633075.2551630893,751221.5274114837,Skip: no budget,—,,,20.292902330343164
33,1011982,394950.41008960106,317603.9649924856,434215.9320437338,Bid,Yes,355192.80589467176,39757.6041949293,9.941886614378923
34,1001568,1212453.2879179583,986987.7792064322,978259.5650212412,Skip: below threshold,—,,,-19.315690363533747
35,1012367,296965.2933319634,334004.49091822695,272544.1050176342,Skip: below threshold,—,,,-8.22358331518219
36,1011104,395000,271569.68717660627,447110.642242516,Bid,Yes,379338.23986007046,15661.760139929538,13.192567656333159
37,1006239,263801.96125328867,180256.43088145854,256133.88533054595,Bid,Yes,211944.7458218645,51857.21543142418,-2.9067547058076033
38,1005811,531995.9609559071,500072.1461248419,421504.2341084251,Skip: below threshold,—,,,-20.769279272148424
39,1004396,1349370.5001347552,1342580.6561575194,1207935.272006133,Skip: below threshold,—,,,-10.481571081811675
40,1008590,569992.1539323743,608886.4190232068,673477.5613996957,Skip: no budget,—,,,18.155584555572535
41,1000879,230264.5072853734,208581.15387351057,242428.30946874444,Bid,No,,,5.282534562869513
42,1000192,186698.1339187706,292618.76187432616,374054.8305670281,Bid,Yes,318760.74497989885,-132062.61106112826,100.35274199889616
43,1014643,544134.4865391643,460558.04086771474,436086.2747302009,Skip: below threshold,—,,,-19.856894661497737
44,1013311,453420.0043987195,490590.3074435964,434001.0642997237,Skip: below threshold,—,,,-4.28277092113465
45,1001891,379677.5890935183,172110.9570171611,292039.73770128225,Bid,No,,,-23.08217653864474
46,1002684,427822.265625,376932.3953119155,474262.9016453826,Skip: no budget,—,,,10.855123669764605
47,1006784,811887.4267601576,1004650.3784484845,611064.6569095101,Skip: below threshold,—,,,-24.73529743551173
48,1006508,433268.0042032209,678091.4467966116,419291.4261327153,Skip: below threshold,—,,,-3.225850497824893
49,1008746,527252.8941726759,265858.2485083599,627643.0224955169,Bid,Yes,271175.4134785271,256077.4806941488,19.040223284191807
50,1009479,458610.4561549677,644262.1111625461,457065.61875094887,Skip: below threshold,—,,,-0.3368517623804108
51,1015884,390481.1160258592,64679.58504619592,404502.9887500517,Bid,Yes,348837.02537683706,41644.09064902214,3.590922108321347
52,1015367,376477.4912996295,480458.49660118413,343038.1043614948,Skip: below threshold,—,,,-8.882174289543663
53,1008987,1447949.6125787303,1154195.5291419376,939699.8487503222,Skip: below threshold,—,,,-35.10134326589163
54,1008207,957251.1995047206,1073669.452301514,787221.9550601296,Skip: below threshold,—,,,-17.76223884938078
55,1008513,148602.24942521594,113640.30489666227,376716.7117435537,Bid,Yes,301247.4761558975,-152645.22673068155,153.50673573291792
