,zpid,True Value,Asking Price,Prediction,Decision,Won?,Cost Paid,Profit,Pred Error (%)
0,1007506,343819.59280562407,352899.33551484183,324005.1409159904,Skip: below threshold,—,,,-5.76303744878077
1,1007433,252594.434982908,291467.2137226238,249201.71311058337,Skip: below threshold,—,,,-1.3431498886957625
2,1002243,422539.97083940846,276558.1720298643,417577.132892727,Bid,No,,,-1.1745250838216366
3,1006351,1562370.8421797594,538312.2515801539,1100474.2647537596,Bid,No,,,-29.563824730726513
4,1014349,431686.4854480838,285676.41853569174,264657.5385337524,Skip: below threshold,—,,,-38.69218809130844
5,1016592,618558.7256559925,675925.3648314703,692423.0604574525,Skip: below threshold,—,,,11.941361707108019
6,1009483,1701533.5463258785,1641977.8996379313,1226346.4157384364,Skip: below threshold,—,,,-27.926991601988316
7,1006536,693331.2563573484,823563.6155471997,466424.8322042133,Skip: below threshold,—,,,-32.72698613722756
8,1000150,91166.78090521148,51900.8514035917,708603.1409994737,Bid,Yes,608154.0466774494,-516987.2657722379,677.2602410259799
9,1013747,362378.3062161034,107134.34938973715,310437.55593196617,Bid,Yes,245010.65394691448,117367.6522691889,-14.333294624199294
10,1017390,575969.3480473349,213492.34686629273,560076.0523860923,Bid,No,,,-2.7593995609531152
11,1009190,657015.3803519468,1217501.8142270576,509061.6178430017,Skip: below threshold,—,,,-22.519071384552667
12,1017353,758261.0792885136,253666.02255808486,599687.3197121527,Bid,No,,,-20.912818013177308
13,1007356,310803.7312729671,357190.05348619894,287536.77830644784,Skip: below threshold,—,,,-7.48605973011463
14,1013599,801326.7342126402,758362.2701502756,628348.4000508989,Skip: below threshold,—,,,-21.58649234780675
15,1002139,600104.7912906794,504239.7974727072,561104.5737253488,Bid,No,,,-6.498901213811438
16,1000115,600000,656065.7622140978,646270.3044345379,Skip: below threshold,—,,,7.711717405756315
17,1002106,1032395.1169188446,1255589.8539528053,958848.0053282484,Skip: below threshold,—,,,-7.123930594528153
18,1007102,167186.85690679715,97484.37582354585,450148.96769589576,Bid,No,,,169.24901635470275
19,1006329,400643.0754553646,156959.64777436267,451575.0585343487,Bid,No,,,12.712557934789112
20,1004197,1305578.7923416789,1303863.969361077,1035290.9392274544,Skip: below threshold,—,,,-20.70253091576631
21,1014506,810931.6396707881,670903.4155642744,922195.9197426436,Bid,Yes,684321.4838755599,126610.1557952282,13.72054987483596
22,1013710,351348.48899844795,446121.6300127251,358567.37505526346,Skip: below threshold,—,,,2.054622769943774
23,1006608,995707.6867824988,1533176.363615469,959733.3376956627,Skip: below threshold,—,,,-3.6129427907785443
24,1008705,940000,575030.3843062348,1015061.4556891032,Bid,Yes,586530.9919923595,353469.0080076405,7.98526124352162
25,1011804,948134.5214141996,556032.3220169034,786576.5300774752,Bid,Yes,567152.9684572415,380981.55295695807,-17.039564290492336
26,1005882,158861.60484948114,160626.87792292316,155204.1076625815,Skip: below threshold,—,,,-2.302316655031322
27,1007581,146460.77707489373,83568.40743554418,413349.5271178858,Bid,Yes,345655.36467978294,-199194.5876048892,182.2254089956908
28,1011039,1297093.242733107,1255382.252005239,1071556.7103973387,Skip: below threshold,—,,,-17.387842670472935
29,1006616,320297.0336137773,251563.83649192753,329010.35260747303,Bid,No,,,2.720387040550139
30,1001936,411365.3219885925,393322.05876144464,364967.3191211197,Skip: below threshold,—,,,-11.2790263027469
