,zpid,True Value,Asking Price,Prediction,Decision,Won?,Cost Paid,Profit,Pred Error (%)
0,1009738,812720.1051248357,940053.3280686461,567754.0973932414,Skip: below threshold,—,,,-30.141497200191324
1,1001909,127594.29125675488,126010.05899216456,97918.54288020708,Skip: below threshold,—,,,-23.257896638049434
2,1008610,624822.4868819264,379829.6981107791,555102.0356467232,Bid,No,,,-11.158441429202012
3,1004608,395564.77653849154,424691.4512839993,478519.87800327473,Bid,No,,,20.971306442071697
4,1003570,357433.52858858934,518532.30224356946,295970.8228077744,Skip: below threshold,—,,,-17.1955624933998
5,1001084,809031.1308326978,435525.7474908667,667168.0034837937,Bid,No,,,-17.534940491460578
6,1002874,1078557.3651991235,1034284.5317383384,975723.1690185488,Skip: below threshold,—,,,-9.53442065286805
7,1011193,183469.1794267766,208362.24161446726,304392.3450926856,Bid,No,,,65.90925301116857
8,1015069,504663.9878065679,708920.6348756234,475269.84540066816,Skip: below threshold,—,,,-5.824497708595409
9,1006216,1393356.1240127312,759701.1771155418,830364.0678161603,Bid,No,,,-40.40546752507235
10,1005487,693452.4400330852,605363.2958180656,483752.2550501805,Skip: below threshold,—,,,-30.240024099259028
11,1001236,760637.765186454,314841.8457204186,1089532.547108546,Bid,No,,,43.23934426809197
12,1003565,847434.2519189632,608170.6352906913,663468.6754704398,Bid,Yes,620334.0479965052,227100.203922458,-21.708536801757127
13,1001389,1195491.3923286016,714440.8387240983,641666.0212877425,Skip: below threshold,—,,,-46.326169690114384
14,1008840,256434.3049783487,174386.8325651456,189550.21905945145,Bid,No,,,-26.082347260263955
15,1004560,551284.9474167349,252011.96325242255,610392.2847002487,Bid,Yes,466144.6286320826,85140.31878465228,10.721739739219222
16,1002407,636022.3848471803,10000,415661.47050154966,Bid,No,,,-34.646723070694705
17,1000989,740952.7543618898,631070.0424092076,635628.4782282612,Skip: below threshold,—,,,-14.21470876700284
18,1015172,267881.59337312705,291434.7269212801,249005.82116831583,Skip: below threshold,—,,,-7.0463117555522095
19,1005225,1415061.1713114493,2250199.761377783,1080759.9288293994,Skip: below threshold,—,,,-23.624508202159657
20,1003849,947862.0689655172,875657.445550082,621946.5192862801,Skip: below threshold,—,,,-34.384280197533016
21,1013644,1242604.117497549,1243922.9534867972,1171465.1557126297,Skip: below threshold,—,,,-5.724990025639407
22,1003332,534028.0051807141,293189.1932472916,1009910.425786508,Bid,Yes,299052.9771122374,234975.02806847665,89.11188476805748
23,1010823,452260.23171316925,385960.02786118217,468559.3492700506,Bid,Yes,393679.2284184058,58581.003294763446,3.6039245580227135
24,1015262,398398.8325557743,304894.1700273093,311781.51507025264,Skip: below threshold,—,,,-21.74135825897421
25,1008196,1425488.9524304653,152114.8850271493,1389947.6625261048,Bid,No,,,-2.4932701052338824
26,1013726,254777.60514331635,339182.5287718798,317449.72810204845,Skip: below threshold,—,,,24.598756599300813
27,1000937,295764.24173590774,274578.2572207338,452194.091145664,Bid,Yes,280069.82236514846,15694.419370759279,52.89004799621273
28,1003802,422789.0625,446676.97644875513,349044.9431464918,Skip: below threshold,—,,,-17.44229590932434
29,1001511,330316.9073125291,290581.2642173526,233492.0897804348,Skip: below threshold,—,,,-29.312704069514545
30,1004982,1167687.7152698047,1525781.7371509122,913870.3822215496,Skip: below threshold,—,,,-21.736747739065517
31,1006931,580565.9417433987,376383.70668373845,519541.9572961629,Bid,Yes,383911.3808174132,196654.56092598545,-10.511120281011497
32,1004130,642777.1560452002,364588.4336683383,534545.1031598642,Bid,Yes,371880.20234170504,270896.95370349515,-16.838192189537786
33,1003475,649294.72026871,519563.6784792919,432690.5861791549,Skip: below threshold,—,,,-33.35990996506389
34,1003269,1140731.051683525,312236.72924939427,959938.7085497484,Bid,Yes,318481.4638343821,822249.587849143,-15.848814044901987
35,1009360,972952.5354969574,1189472.3375525423,962058.9196048324,Skip: below threshold,—,,,-1.119645151709357
36,1007312,1144996.767558037,129097.43440964687,760178.3657192463,Bid,Yes,131679.3830978398,1013317.3844601973,-33.60868892752444
37,1006694,142660.1456815817,118770.39296737274,113799.62502682752,Skip: below threshold,—,,,-20.230261589085316
38,1003471,330949.0427098674,67320.11495284681,265130.95493049605,Bid,Yes,68666.51725190374,262282.5254579637,-19.887680363249157
39,1015511,970357.264375638,542071.4702768595,691468.9499973459,Skip: no budget,—,,,-28.740786988155193
40,1012675,969309.4328533646,846477.7765557481,940016.9196519474,Skip: no budget,—,,,-3.0219981575118426
41,1000532,573912.1357111788,634448.5547545783,455021.9597592611,Skip: below threshold,—,,,-20.71574524288316
42,1004514,574073.7100737101,553853.9766254905,374311.00138684927,Skip: below threshold,—,,,-34.79739712539904
43,1007062,423834.1613842728,272400.9270579307,527236.4065186237,Bid,Yes,277848.9455990893,145985.21578518348,24.396864282159736
44,1005194,231160.2751342693,280503.3896239527,214438.16289928032,Skip: below threshold,—,,,-7.233990453280067
45,1015317,920842.9772201242,303233.63016253343,1130977.8441684744,Bid,Yes,309298.3027657841,611544.6744543401,22.819837056553695
46,1013249,928891.915963745,1117978.3608274832,962898.6049908692,Skip: below threshold,—,,,3.660995261417637
47,1014135,1560272.4573557663,1558079.2471759252,698887.2117945938,Skip: below threshold,—,,,-55.20736083625959
48,1005245,911667.809052115,476851.738046922,988666.5598296926,Skip: no budget,—,,,8.445921860248117
49,1005737,810558.0658412065,1115397.407145296,510198.9546305823,Skip: below threshold,—,,,-37.05584138489918
