,zpid,True Value,Asking Price,Prediction,Decision,Won?,Cost Paid,Profit,Pred Error (%)
0,1012318,865196.0655737704,644261.8558045498,857486.9645527723,Bid,No,,,-0.8910235873397852
1,1009770,848077.7860882573,769598.6151560658,838429.9203429526,Bid,No,,,-1.1376156649268379
2,1006779,412579.3355823661,313944.8256142763,357588.0443398967,Bid,No,,,-13.32865863600459
3,1010761,867748.5061445376,460294.8370379273,754812.4801717815,Bid,No,,,-13.014833811070229
4,1001357,423508.3666724648,275973.993425904,353872.05316339794,Bid,No,,,-16.442724392012444
5,1005610,696553.4027221778,860233.3866631897,290857.1849230109,Skip: below threshold,—,,,-58.24337605898968
6,1000766,962185.8715845756,893800.5078194371,959007.876672728,Skip: below threshold,—,,,-0.3302890850614919
7,1009698,168299.42631058357,10000,339749.0365722355,Bid,No,,,101.87177343388858
8,1012725,375083.852982173,289484.3547543147,423205.6803388334,Bid,No,,,12.82961849038796
9,1015406,291053.01613642275,266109.7520716357,294839.181864691,Bid,No,,,1.3008508822645615
10,1013551,762794.1639550751,915296.9962355647,944395.4404462496,Skip: below threshold,—,,,23.80737623234751
11,1008122,1367749.4750296725,621674.8634357901,614250.5530058764,Skip: below threshold,—,,,-55.09041939185898
12,1007055,1515093.6524453694,1463972.9385261028,1151901.9806719844,Skip: below threshold,—,,,-23.97156579642398
13,1001004,1510159.1721542804,767811.3224009934,897028.5364429794,Bid,Yes,783167.5488490133,726991.6233052671,-40.600398091590215
14,1001516,707366.1399548532,736790.7845819197,615953.070619545,Skip: below threshold,—,,,-12.923020225585379
15,1001989,169870.4733914139,144443.13113422564,149155.2928917468,Skip: below threshold,—,,,-12.194691688375638
16,1012232,485876.7765374697,370423.57824190205,451759.21899513406,Bid,Yes,377832.0498067401,108044.72673072963,-7.021853932898268
17,1010170,845704.1360060897,651503.740643287,640956.5206956271,Skip: below threshold,—,,,-24.210312636922982
18,1012865,374509.1920789919,480503.0167179066,420407.297989259,Skip: below threshold,—,,,12.25553521276087
19,1012616,161873.35457946517,145174.03706005606,308484.9834841188,Bid,Yes,235707.77497572824,-73834.42039626307,90.57181108375721
20,1015727,521264.2225031606,683400.563823071,422340.0485319116,Skip: below threshold,—,,,-18.977740980611642
21,1000992,321086.4858971763,537813.9727991066,262973.1880961849,Skip: below threshold,—,,,-18.098954753144426
22,1014299,105809.6642096642,50186.70717098631,273055.8335188473,Bid,Yes,230828.9325782633,-125019.2683685991,158.06322660450095
23,1001189,408495.4612441021,329943.4894362039,365208.0471311089,Bid,Yes,336542.35922492796,71953.10201917414,-10.596791940149913
24,1006781,937572.5388197548,1648029.7806158303,1113442.9476950434,Skip: below threshold,—,,,18.758058880081922
25,1015161,1369796.6868833168,1200692.442670358,660236.1206114752,Skip: below threshold,—,,,-51.80042944083161
26,1008208,430169.88872432726,353611.4947964734,374506.19977452233,Skip: below threshold,—,,,-12.939931503545289
