,zpid,Outcome,Asking Price,My Prediction,Decision,Won?,Cost Paid,True Value,Profit,Auction Bids,Winner
0,1013121,Loss,301457.5553423389,536543.0195102699,Bid,Yes,383808.6827070246,306367.1798869616,-77441.50282006303,"You: $456,062, Pippin: $376,283, Merry: $369,678, Aragorn: $360,744, Gimli: $349,096, Legolas: $345,261, Frodo: $333,364",You
1,1010319,Skip,,476724.0516657936,Skip: below threshold,—,,,,,
2,1009638,Skip,,492949.9523566716,Skip: below threshold,—,,,,,
3,1009552,Auction Lost,438059.2177577311,585954.0458555262,Bid,No,,,,"Merry: $529,415, Legolas: $519,959, Pippin: $508,409, Frodo: $507,724, You: $498,061, Aragorn: $497,729, Gimli: $481,704",Merry
4,1008992,Skip,,528550.5807283532,Skip: below threshold,—,,,,,
5,1005429,Skip,,537236.1918720903,Skip: below threshold,—,,,,,
6,1015044,Skip,,758931.435546625,Skip: below threshold,—,,,,,
7,1003786,Skip,,857805.5829218471,Skip: below threshold,—,,,,,
8,1010164,Auction Lost,146094.31786709905,456162.0346825493,Bid,No,,,,"Legolas: $412,143, You: $387,738, Pippin: $385,893, Frodo: $384,299, Aragorn: $367,312, Gimli: $362,901, Merry: $345,759",Legolas
9,1003347,Skip,,931381.6957635592,Skip: below threshold,—,,,,,
10,1003059,Skip,,413055.1789009686,Skip: below threshold,—,,,,,
11,1013936,Auction Lost,236711.6126977432,280221.1400704974,Bid,No,,,,"Pippin: $297,599, Aragorn: $276,894, Frodo: $264,305, Gimli: $253,586, Merry: $249,522, Legolas: $242,302, You: $238,188",Pippin
12,1011581,Skip,,690504.3498498336,Skip: below threshold,—,,,,,
13,1007578,Auction Lost,195930.8673941573,654500.7933524171,Bid,No,,,,"Aragorn: $591,547, Pippin: $589,798, Legolas: $584,352, Merry: $573,815, Gimli: $562,423, You: $556,326, Frodo: $546,969",Aragorn
14,1005975,Skip,,276789.1111149969,Skip: below threshold,—,,,,,
15,1012665,Skip,,328892.9308350822,Skip: below threshold,—,,,,,
16,1015788,Skip,,417143.5414444168,Skip: below threshold,—,,,,,
17,1004615,Auction Lost,219061.86607338506,529914.6702479273,Bid,No,,,,"Legolas: $465,776, Pippin: $458,403, You: $450,427, Aragorn: $443,052, Frodo: $440,909, Merry: $415,587, Gimli: $407,241",Legolas
18,1006423,Skip,,416369.8865942668,Skip: below threshold,—,,,,,
19,1007842,Auction Lost,135595.05973474812,288747.0234094362,Bid,No,,,,"Legolas: $251,857, Aragorn: $251,383, You: $245,435, Frodo: $239,800, Merry: $237,094, Pippin: $232,735, Gimli: $232,418",Legolas
20,1010308,Auction Lost,500423.76053339243,809279.9959930804,Bid,No,,,,"Frodo: $702,975, Legolas: $700,265, Pippin: $697,489, You: $687,888, Aragorn: $684,192, Merry: $667,900, Gimli: $610,009",Frodo
