zpid,llm_condition,llm_tier,llm_has_view,llm_has_ocean_view,llm_has_bay_view,llm_has_city_view,llm_has_golf_view,llm_floor_level,llm_is_penthouse,llm_is_corner,llm_has_concierge,llm_has_elevator,llm_has_boat_dock,llm_has_guest_house,llm_amenities_count,llm_is_fixer,llm_distress_count,llm_renovation_age,llm_ok
1011541,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1005445,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1002822,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1006212,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1007959,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1011023,4,0,1,0,0,0,0,,0,0,0,0,0,0,2,0,0,,1
1014874,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,,1
1002671,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1002323,4,2,1,1,0,0,0,,0,0,0,1,0,0,2,0,0,,1
1009937,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1003854,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1015847,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1016572,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1004566,4,1,1,1,1,1,0,4.0,0,0,1,1,1,1,6,0,0,,1
1001662,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,,1
1012423,4,0,1,1,0,0,0,1.0,0,0,0,0,0,0,1,0,0,,1
1004180,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1
1000532,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1004040,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,,1
1009507,4,0,1,0,0,0,0,,0,0,0,0,0,0,0,1,1,,1
1002658,4,0,1,0,1,0,0,,0,0,0,0,0,0,0,1,1,,1
1012675,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1008450,4,2,1,1,1,1,0,4.0,0,0,0,0,0,0,0,0,0,,1
1006979,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1016717,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1016875,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1010928,4,0,1,1,0,0,0,,0,0,0,0,0,0,0,1,1,,1
1010002,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1003930,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1009881,4,0,1,0,0,0,0,,0,0,1,1,0,0,3,0,0,,1
1014137,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1015460,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1
1003712,0,1,1,0,0,0,0,10.0,0,0,0,1,0,0,2,0,0,,1
1001869,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1013663,4,1,1,1,1,0,0,3.0,0,0,1,1,0,1,4,0,0,,1
1013647,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1016041,4,1,1,0,1,0,0,12.0,0,1,1,1,0,1,4,0,0,,1
1010809,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1
1004106,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1011446,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1000342,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1006067,4,1,1,0,0,0,0,,0,0,0,1,0,0,2,0,0,,1
1001131,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1
1003424,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1009477,4,2,1,1,1,1,0,,0,0,0,0,0,0,0,0,0,,1
1001318,4,2,1,1,0,0,0,25.0,0,1,0,1,0,0,2,0,0,,1
1010358,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1001522,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1008637,4,2,1,1,0,0,0,,0,0,0,0,0,0,3,0,0,,1
1009376,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1004827,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1004848,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1007831,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1005103,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1008951,4,2,1,1,1,1,1,19.0,0,0,0,0,0,0,5,0,0,,1
1007666,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1014545,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1007308,4,0,1,1,0,0,0,,0,0,0,0,0,0,0,1,1,,1
1008501,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1012036,4,2,1,1,1,1,0,1.0,0,0,0,0,0,0,0,0,0,,1
1010214,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1015576,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1004821,4,2,1,1,0,0,0,6.0,0,1,0,1,0,0,2,0,0,,1
1015531,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1
1013902,4,0,1,1,1,0,0,2.0,0,0,0,0,0,0,0,0,0,,1
1014398,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1001092,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1
1009260,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1011403,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1005356,4,2,1,1,0,0,0,,0,0,1,1,1,1,6,0,0,,1
1009811,4,1,1,1,0,0,0,1.0,0,0,1,1,1,1,6,0,0,,1
1000359,4,0,1,0,0,0,0,10.0,0,0,0,0,0,0,0,1,1,,1
1003602,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1012671,4,2,1,1,1,1,0,2.0,0,1,1,1,1,1,13,0,0,,1
1007213,4,2,1,1,1,0,0,,0,1,1,1,1,1,6,0,0,,1
1013160,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1
1014412,4,1,1,0,0,0,0,3.0,0,0,0,1,0,0,2,0,0,,1
1015931,4,0,1,0,0,0,1,,0,0,0,0,0,0,1,0,0,,1
1013494,4,2,1,1,1,1,0,3.0,0,0,1,1,1,1,6,0,0,,1
1002927,4,2,1,1,1,1,0,,0,0,0,0,0,0,0,0,0,,1
1012510,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1014003,4,1,1,0,0,0,0,12.0,0,1,1,1,1,1,6,0,0,,1
1008112,4,2,1,0,0,0,0,1.0,0,0,0,1,0,0,2,0,0,,1
1009388,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1
